Printer,Ultimaker S5,Raise3D E2,Raise3D Pro2
Build Volume,330mm x 240mm x 300mm,330mm x 240mm x 240mm,300mm x 300mm x 300mm
Filament Ø,2.85mm,1.75mm,1.75mm
Product URL,https://shop3d.ca/collections/ultimaker-studio-line/products/ultimaker-s5-studio,https://shop3d.ca/collections/raise3d/products/raise3d-e2-3d-printer,https://shop3d.ca/collections/raise3d/products/raise3d-pro2-plus-3d-printer
